identificatie;identificatieWegdeelSRM1;identificatieOverheid;naamOverheid;naam;wegtype;boomFactor;afstand;indicatieToetspunt;grondReceptor;opmerking;datumActualisatie;geometrie
R22635;W14386;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146945.249180949 453260.972176058)
R22636;W14386;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146924.750819051 453241.027823942)
R22637;W14387;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147020.560342704 453178.642052034)
R22638;W14387;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146999.439657296 453159.357947966)
R22639;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146692.873803309 453505.343984419)
R22640;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146673.126196691 453484.656015581)
R22641;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146781.876566511 453420.341346112)
R22642;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146762.123433489 453399.658653888)
R22872;W14520;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147503.950771427 451842.806660979)
R22873;W14520;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147482.049228573 451823.193339021)
R22874;W14521;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147413.997377677 451938.997377677)
R22875;W14521;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147396.524769065 451921.524769065)
R22876;W14522;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147446.780625357 451904.639552398)
R22877;W14522;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147429.722615064 451889.571643306)
R22878;W14523;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147300.513602812 452057.977438231)
R22879;W14523;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147280.482422565 452037.062529443)
R22880;W14524;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(147237.174201541 452117.022051669)
