identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksAfstand;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
34366966_1279548;Gemeente Amsterdam;G;Pieter Calandlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;7588;-999;138;51;94;0.21;0.21;0.21;0.21;MT2017_1592;27-9-2022 09:14;LINESTRING(115640.9999999999 485275.9999999999,115694.2303999999 485292.9081000019,115705.4963000009 485305.0348999979)
34366966_1279549;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;8116;-999;224;88;154;0.2;0.2;0.2;0.2;MT2017_1593;27-9-2022 09:14;LINESTRING(115646.0749999989 485514.997000001,115710.960000001 485315.1022999989,115705.4963000009 485305.0348999979)
34366966_1279550;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3078;-999;94;32;121;0.06;0.06;0.06;0.06;MT2017_1598;27-9-2022 09:14;LINESTRING(115754.649 484276.9800999979,115755.9999999999 484262,115755.9999999999 484208)
34366966_1279551;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;5151;-999;99;35;121;0.07;0.07;0.07;0.07;MT2017_1599;27-9-2022 09:14;LINESTRING(115758 484055.9999999999,115759.975400001 483953.324099999,115760.239999998 483915.4886000009,115755.212900002 483907.8156999979,115752.9999999999 483898)
34366966_1279552;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3784;-999;93;32;121;0.07;0.07;0.07;0.07;MT2017_1600;27-9-2022 09:14;LINESTRING(115758 484055.9999999999,115755.9999999999 484208)
34366966_1279520;Gemeente Amsterdam;G;Bijlmerdreef;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4730;-999;134;74;258;0.15;0.15;0.15;0.15;MT2017_1436;27-9-2022 09:14;LINESTRING(126222.1627000009 481403.714699998,126172.6475999989 481376.2765999999,126081.684700001 481326.3506999979,126060.420000002 481314.7199999989,126055.4079999999 481310.7540000009,126050.475099999 481305.5098999999,126047.061900001 481295.429299999)
34366966_1279553;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;12014;-999;250;122;94;0.1;0.1;0.1;0.1;MT2017_1602;27-9-2022 09:14;LINESTRING(115752.9999999999 483898,115755.4774000009 483889.294799998,115763.6794999989 483878.4468999989,115812 483708,115849.120000001 483599.7629999999,115856.113000002 483574.2450000009)
34366966_1279554;Gemeente Amsterdam;G;Laan van Vlaanderen;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;2714;-999;66;23;126;0.04;0.04;0.04;0.04;MT2017_1606;27-9-2022 09:14;LINESTRING(115754.649 484276.9800999979,115762.1169000009 484281.3419999999,115825 484281)
34366966_1279521;Gemeente Amsterdam;G;Bijlmerdreef;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;4730;-999;134;74;258;0.15;0.15;0.15;0.15;MT2017_1437;27-9-2022 09:14;LINESTRING(126047.061900001 481295.429299999,126057.6539999989 481294.3079999979,126064.506000001 481296.09,126230.4799999999 481387.0500000009)
34366966_1279555;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;12014;-999;250;122;94;0.1;0.1;0.1;0.1;MT2017_1608;27-9-2022 09:14;LINESTRING(115785.9999999999 483898.9999999999,115783.5232999999 483890.3531999999,115777.9670999979 483881.092700001,115796.9999999999 483802.9999999999,115807.9999999999 483767.9999999999,115863.9799999999 483611.0540000009,115874.502 483582.2519999999)
