identificatie;wegdeelIdentificatie;naamOverheid;naam;bebouwingstype;bomenfactor;toetspuntSoort;grondslag;opmerking;identificatiePandBAG;tijdstipRegistratie;geometrie
34362354_178386;34362354_108909;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(129546.774854182 479636.85503292)
34362354_178387;34362354_108909;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(129529.225145818 479609.14496708)
34362354_178388;34362354_108910;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(129571.386280912 479621.977134853)
34362354_178389;34362354_108910;provincie Noord-Holland;Provincialeweg,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:37;POINT(129555.025315791 479594.708859651)
37161516_181210;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(132209.981227976 491771.738421174)
37161516_181231;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(133224.130656582 491863.838477631)
37161516_181232;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(133249.869343418 491860.161522369)
37161516_181233;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(133259.749458289 491964.513471517)
37161516_181234;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(133282.250541711 491951.486528483)
37161516_181236;;Hoogheemraadschap Hollands Noorderkwartier;Uitdammerdijk, Amsterdam;;;Alle;0;;;27-9-2022 09:37;POINT(133301.646480791 492060.011066855)
34366966_231228;34366966_141433;Gemeente Amsterdam;Dubbelinkdreef,Amsterdam;3;1.5;Alle;0;;;27-9-2022 09:37;POINT(125119.343567881 482143.924356847)
34366966_231232;34366966_141435;Gemeente Amsterdam;Dubbelinkdreef,Amsterdam;3;1.5;Alle;0;;;27-9-2022 09:37;POINT(125182.219349112 482029.942028614)
34366966_237811;34366966_101485;Gemeente Amsterdam;Europaboulevard,Amsterdam;4;1.5;Alle;0;;;27-9-2022 09:37;POINT(121136.5 483059)
34366966_237811;34366966_616005;Gemeente Amsterdam;Europaboulevard,Amsterdam;4;1.5;Alle;0;;;27-9-2022 09:37;POINT(121136.5 483059)
34362354_237939;;provincie Noord-Holland;Slochterweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(125380.732045315 492672.807145209)
34362354_237940;;provincie Noord-Holland;Slochterweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(125449.935046253 492703.89614593)
34362354_237941;;provincie Noord-Holland;Slochterweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(125245.873928992 492659.818129485)
34362354_237942;;provincie Noord-Holland;Slochterweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(125284.792634586 492680.773257746)
34366966_1095612;34366966_103281;Gemeente Amsterdam;L ,;1;1.0;Alle;0;;;27-9-2022 09:39;POINT(122722.397549465 490153.765032977)
34366966_759160;34366966_1355260;Gemeente Amsterdam;L ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(122309.723372504 488781.446446132)
34366966_759163;34366966_1355287;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(129498.197766014 484804.082956465)
34366966_759164;34366966_1355272;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(128548.169161104 485598.851750887)
34366966_759170;34366966_943705;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(129112.699933116 484941.447676336)
34366966_759175;34366966_943652;Gemeente Amsterdam;L ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125749.716542985 487120.297294606)
34366966_759176;34366966_943654;Gemeente Amsterdam;R ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125769.716542985 486965.297294606)
34366966_759178;34366966_1280569;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(127924.381615378 485675.181529207)
34366966_759190;34366966_943676;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(127991.427167114 485570.184002429)
34366966_759193;34366966_1355295;Gemeente Amsterdam;R ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125701.455193483 487493.784901824)
34366966_759196;34366966_1280577;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(128381.496571672 485275.7266816)
34366966_759198;34366966_1280563;Gemeente Amsterdam;R ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125361.678456638 485161.921018903)
34366966_759209;34366966_1280587;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(128758.214293048 484904.44905401)
34366966_759210;34366966_1355264;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127612.697408788 485985.036091616)
34366966_759223;34366966_1355257;Gemeente Amsterdam;R ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(122220.188710574 488867.040106628)
34366966_759231;34366966_1355295;Gemeente Amsterdam;L ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125729.292990815 487496.794393419)
34366966_759232;34366966_1280584;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(128659.584583607 485162.855164422)
34366966_759236;34366966_943721;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(129792.216323302 484729.999240189)
34366966_759237;34366966_943681;Gemeente Amsterdam;L ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(128126.544463948 485115.447322741)
34366966_759238;34366966_1355275;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(128741.365441874 485461.324410766)
34366966_759239;34366966_1280116;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127490.932922133 486024.332849539)
34366966_759241;34366966_1280116;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(127432.87314611 486110.431992454)
34366966_759242;34366966_1280599;Gemeente Amsterdam;R ,Amsterdam;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(119734.576928195 489584.454543593)
34366966_759242;34366966_1280556;Gemeente Amsterdam;R ,Amsterdam;3;1.25;Alle;0;;;27-9-2022 09:38;POINT(119734.576928195 489584.454543593)
34366966_759243;34366966_1355277;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(128898.516368867 485355.580727996)
34366966_759248;34366966_1355275;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(128814.554839317 485393.182557974)
34366966_759250;34366966_1355290;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(129738.517342132 484923.780327184)
34366966_759252;34366966_943721;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(129616.429314756 484634.610940978)
34366966_759256;34366966_943679;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(128080.497729988 485670.737297095)
34366966_759257;34366966_943687;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(128380.497729988 485405.737297095)
34366966_759261;34366966_1355264;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127679.593881951 486059.36550624)
34366966_759273;34366966_1355267;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(128064.509971772 485993.144893548)
34366966_759274;34366966_1355295;Gemeente Amsterdam;L ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125740.041175113 487397.373688667)
34366966_759275;34366966_1355290;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(129763.876668473 484935.65065016)
34366966_759276;34366966_943704;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(129003.849668269 484856.480832884)
34366966_759279;34366966_943652;Gemeente Amsterdam;L ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125762.513676749 487021.119507942)
34366966_759280;34366966_943654;Gemeente Amsterdam;R ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125782.513676749 486866.119507942)
34366966_759282;34366966_1355256;Gemeente Amsterdam;R ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(122028.723037728 488943.868443865)
34366966_759288;34366966_1280587;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(128834.772104305 484840.114758836)
34366966_759289;34366966_1280580;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(128475.925897744 485157.953278621)
34366966_759290;34366966_943705;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(129202.359387805 484985.732913065)
34366966_759292;34366966_1355266;Gemeente Amsterdam;R ,;3;1.0;Alle;0;;;27-9-2022 09:38;POINT(127944.626940698 485914.008187518)
34366966_759293;34366966_1355287;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(129541.976441474 484714.175072634)
34366966_759300;34366966_1280563;Gemeente Amsterdam;L ,Amsterdam;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(125525.620612477 485043.993203942)
34366966_759302;34366966_1355276;Gemeente Amsterdam;R ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(128759.206651402 485274.834934715)
34366966_759303;34366966_1280583;Gemeente Amsterdam;L ,;2;1.0;Alle;0;;;27-9-2022 09:38;POINT(128661.092838702 484991.131522951)
34366966_759304;34366966_1355265;Gemeente Amsterdam;R ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127751.60789266 486164.220724548)
34366966_759308;34366966_1355262;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127403.131682512 486283.913694294)
34366966_759318;34366966_1355266;Gemeente Amsterdam;L ,;4;1.0;Alle;0;;;27-9-2022 09:38;POINT(127846.891100128 485878.912525701)
