segment_id;nwb_weg_id;nwb_versie;begin_pos;eind_pos;overheidid;overheid;straatnaam;straatnr;wegbeheer;hoogte;x;y;wegtype;snelheid;tun_factor;boom_fact;maxsnelh_p;maxs_p_dyn;maxsnelh_v;a_rand_l;a_gevel_l;bebdicht_l;a_toepas_l;a_scherm_l;s_hoogte_l;a_rand_r;a_gevel_r;bebdicht_r;a_toepas_r;a_scherm_r;s_hoogte_r;stagf_lv;int_lv;int_lv_dyn;stagf_mv;int_mv;stagf_zv;int_zv;stagf_bv;int_bv;opmerking;gewijzigd;geomet_wkt;actie
121191;307321045;801;0.250902;0.499505;307;Amersfoort;Leusderweg;;G;0;153862.00;460655.00;0;c;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;2821;0;0.000000;142;0.000000;92;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153817 460675,153908 460635);u
121192;307321045;801;0.499505;0.748912;307;Amersfoort;Leusderweg;;G;0;153955.00;460617.00;0;c;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;2821;0;0.000000;142;0.000000;92;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153908 460635,153928 460626,154002 460602);u
121193;307321045;801;0.748912;1;307;Amersfoort;Leusderweg;;G;0;154052.00;460593.00;0;c;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;2821;0;0.000000;142;0.000000;92;0.000000;0;;27-05-2020 11:01:26;LINESTRING(154002 460602,154008 460600,154081 460589,154100 460582);u
121194;307321046;801;0;0.249803;307;Amersfoort;Rondweg-Zuid;;G;0;153730.00;460681.00;0;c;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;4467;0;0.000000;225;0.000000;146;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153694 460706,153716 460688,153769 460660);u
121195;307321046;801;0.249803;0.501413;307;Amersfoort;Rondweg-Zuid;;G;0;153808.00;460640.00;0;c;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;4467;0;0.000000;225;0.000000;146;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153769 460660,153848 460619);u
121196;307321046;801;0.750606;1;307;Amersfoort;Rondweg-Zuid;;G;0;153962.00;460556.00;0;c;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;4467;0;0.000000;225;0.000000;146;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153927 460580,153934 460577,153945 460573,153955 460566,153961 460557,153963 460553,153964 460547,153962 460541,153958 460536,153953 460531,153938 460527);u
121197;307323009;801;0;0.498118;307;Amersfoort;Utrechtseweg;;G;0;153759.00;461952.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;3476;0;0.000000;142;0.000000;22;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153726 461920,153739 461933,153764 461957,153792 461985);u
121198;307323009;801;0.498118;1;307;Amersfoort;Utrechtseweg;;G;0;153825.00;462018.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;3476;0;0.000000;142;0.000000;22;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153792 461985,153858 462051);u
121199;307323012;801;0;1;307;Amersfoort;Utrechtseweg;;G;0;153622.00;461813.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7768;0;0.000000;334;0.000000;64;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153598 461791,153645 461835);u
121200;307323014;801;0;1;307;Amersfoort;Utrechtseweg;;G;0;153557.00;461750.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;7768;0;0.000000;334;0.000000;64;0.000000;0;;27-05-2020 11:01:26;LINESTRING(153516 461708,153598 461791);u
